Transition,Date,Q_V_c,Q_V_c_error,,T_p,T_p_error,delta_V,delta_V_error,,W,W_error,M_V_c,M_V_c_error,,S_p,S_p_error,V_r_low,V_r_upp
"(3,3)",2020-01-08,60.36,0.14,,4.13,0.23,9.57,0.14,,38.26,0.43  4.2 0.5,,,,,,,
"(3,3)",2020-03-20,60.86,0.14,,5.63,0.17,8.39,0.14,,50.32,0.20  4.3 0.3,,,,,,,
"(3,3)",2020-04-01,51.66,0.14,,0.47,0.1,5.67,0.14,,2.86,0.1,,,,,,,
"(3,3)",2020-04-01,61.42,0.14,,3,0.1,6.12,0.14,,23.05,0.23  2.9 0.4,,,,,,,
"(3,3)",2020-04-07,61.71,0.26,,3.4,0.27,8.28,0.5,,29.84,2.03  1.1 1.1,,,,,,,
"(3,3)",2020-04-07,68.16,0.11,,4.66,0.27,5.17,0.17,,25.61,1.9,,,,,,,
"(4,4)",2020-01-08,60.03,0.13,,1.03,0.1,8.72,0.32,,7.63,0.30 11.7 0.5,,,,,,,
"(4,4)",2020-03-20,60.18,0.28,,1.3,0.07,9.02,0.28,,12.99,0.17 10.7 0.3,,,,,,,
"(4,4)",2020-04-01,60.62,0.2,,0.47,0.07,10.51,0.66,,3.9,0.17 12.5 0.9,,,,,,,
"(4,4)",2020-04-07,58.2,0.53,,0.23,0.17,9,1.55,,2.63,0.57,,,,,,,
"(4,4)",2020-04-07,66.9,0.53,,0.42,0.17,9,1.55,,4.81,0.57,,,,,,,
"(10,9)",2020-03-20,60.3,0.22,,0.2,0.03,7.67,0.44,,1.63,0.1,,,,,,,
"(10,9)",2020-04-01,61.74,1.76,,0.1,0.03,13.98,6.12,,1.3,0.1,,,,,,,
"(10,9)",2020-04-07,61.74,,<,0.3,,,,<,1,,,,,,,,
"(6,6)",2020-03-14,61.49,0.37,,0.7,0.1,12.13,0.9,,6.19,0.40 11.3 1.2,,,,,,,
"(6,6)",2020-03-16,59.74,0.42,,1.13,0.27,7.89,0.91,,7.29,0.77,,,,,,,
"(6,6)",* 2020-3-20,57.87,0.23,,0.66,0.07,8.16,0.55,,6.72,0.27,,,,,,,
"(6,6)",2020-04-01,59.89,0.13,,0.87,0.07,11.02,0.34,,7.36,0.20 16.2 0.7,,,,,,,
"(7,7)",2020-03-14,60.65,0.93,,0.15,0.07,9,1.82,,3.16,0.20 11.9 3.3,,,,,,,
"(7,7)",2020-03-16,60.26,1.21,,0.33,0.13,7.24,2.52,,1.67,0.5,,,,,,,
"(7,7)",* 2020-3-20,57.12,0.4,,0.24,0.07,10.34,1,,3.16,0.27,,,,,,,
"(7,7)",2020-04-01,60.04,0.23,,0.37,0.01,11.08,0.53,,4.23,0.23 17.2 0.4,,,,,,,
